"","GroupingProperty","Species","Site","Tank_color","Size_cm","Partial_mortality","Colony_depth_ft","ED50","ED5","ED95","DW","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8"
"137","10_ICRA_9","ICRA",10,"1-green",45,10,38,38.15,35.67,40.79,5.12,3,4,4,4,4
"138","10_ICRA_10","ICRA",10,"1-green",32,10,31,38.3,35.93,40.83,4.9,3,4,4,5,5
"139","11_AHYA_1","AHYA",11,"1-green",32,5,35,38.04,34.45,42,7.55,1,2,2,2,2
"140","11_AHYA_2","AHYA",11,"1-green",43,0,34,37.7,36.96,38.45,1.49,1,2,2,2,2
"141","11_AABR_1","AABR",11,"1-green",150,0,31,37.74,36.88,38.62,1.73999999999999,4,5,5,6,6
"142","11_AABR_2","AABR",11,"1-green",100,1,29,37.88,36.09,39.75,3.66,4,5,5,6,7
"143","11_ICRA_1","ICRA",11,"1-green",36,5,35,37.22,33.46,41.39,7.93,3,4,4,5,5
"144","11_ICRA_2","ICRA",11,"1-green",25,5,33,37.22,33.52,41.33,7.81,3,4,4,5,5
"145","11_ICRA_3","ICRA",11,"1-green",29,10,31,38.7,36.54,40.99,4.45,3,4,4,5,5
"146","11_ICRA_4","ICRA",11,"1-green",32,15,37,37.81,36.36,39.32,2.96,3,4,4,5,5
"147","11_ICRA_5","ICRA",11,"1-green",34,3,38,37.27,34.32,40.47,6.15,1,1,1,1,1
"148","11_ICRA_6","ICRA",11,"1-green",59,3,31,37.43,35.21,39.8,4.59,3,4,4,5,5
"149","11_ICRA_7","ICRA",11,"1-green",27,40,36,37.49,35.98,39.06,3.08000000000001,3,4,4,5,5
"150","11_ICRA_8","ICRA",11,"1-green",31,2,39,37.54,36.53,38.58,2.05,1,1,1,1,1
"151","11_AGLO_1","AGLO",11,"1-green",37,1,37,37.71,35.78,39.75,3.97,4,5,5,6,6
"152","11_AGLO_2","AGLO",11,"1-green",55,1,38,38.38,36.82,40.01,3.19,4,5,5,6,6
"153","11_AGLO_3","AGLO",11,"1-green",38,1,35,37.72,36.28,39.22,2.94,4,5,5,6,7
"154","11_AGLO_4","AGLO",11,"1-green",40,1,33,38.06,36.28,39.94,3.66,4,5,5,6,6
"155","11_AGLO_5","AGLO",11,"1-green",50,5,35,37.53,35.6,39.57,3.97,4,5,5,6,7
"156","11_AGLO_6","AGLO",11,"1-green",43,5,29,38.49,36.91,40.14,3.23,4,5,5,6,6
"157","11_AGLO_7","AGLO",11,"1-green",50,15,35,38.18,35.86,40.65,4.79,4,5,5,6,7
"158","11_AGLO_8","AGLO",11,"1-green",41,0,37,38.01,35.61,40.57,4.96,4,5,5,6,7
