Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,5-orange,29,,,0.548,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,5-orange,29,,,0.584,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,5-orange,29,,,0.591,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,5-orange,29,,,0.578,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,5-orange,29,,,0.565,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,6-brown,38.5,,,0.398,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,6-brown,38.5,,,0.412,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,6-brown,38.5,0.33,0.263,0.263,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,6-brown,38.5,0.162,0.143,0.143,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,6-brown,38.5,,,0.302,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,6-brown,38.5,,,0.333,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,6-brown,38.5,,,0.351,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,6-brown,38.5,,,0.275,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,6-brown,38.5,,,0.319,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,6-brown,38.5,,,0.178,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,6-brown,38.5,,,0.226,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,6-brown,38.5,,,0.287,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,6-brown,38.5,,,0.243,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,6-brown,38.5,,,0.269,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,6-brown,38.5,,,0.181,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,6-brown,38.5,,,0.331,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,6-brown,38.5,,,0.324,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,6-brown,38.5,,,0.272,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,6-brown,38.5,,,0.272,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,6-brown,38.5,,,0.338,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,7-grey,39,,,0.298,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,7-grey,39,,,0.293,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,7-grey,39,0.064,0.168,0.168,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,7-grey,39,0.047,0.054,0.054,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,7-grey,39,,,0.137,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,7-grey,39,,,0.249,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,7-grey,39,,,0.24,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,7-grey,39,,,0.15,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,7-grey,39,,,0.162,frag has tissue loss at start,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,7-grey,39,,,0.227,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,7-grey,39,,,0.2,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,7-grey,39,,,0.138,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,7-grey,39,,,0.121,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,7-grey,39,,,0.137,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,7-grey,39,,,0.123,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,7-grey,39,,,0.213,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,7-grey,39,,,0.195,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,7-grey,39,,,0.247,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,7-grey,39,,,0.157,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,7-grey,39,,,0.169,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,8-purple,37,,,0.613,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,8-purple,37,,,0.423,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,8-purple,37,0.375,0.456,0.456,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,8-purple,37,0.608,0.337,0.337,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,8-purple,37,,,0.398,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,8-purple,37,,,0.457,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,8-purple,37,,,0.487,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,8-purple,37,,,0.475,,420
